model,segment,rmse,mae
A_baseline,overall,0.008394733190826432,0.005651885546590874
A_baseline,low,0.004100709300450738,0.003265521284660213
A_baseline,medium,0.009746352477205681,0.0064148528993273534
A_baseline,high,0.008629217340701469,0.005741614550612691
B_plus_polymarket,overall,0.009036477693479459,0.005843045715867639
B_plus_polymarket,low,0.003919834957901616,0.0032998400955920686
B_plus_polymarket,medium,0.010374101179498888,0.0063738284654793935
B_plus_polymarket,high,0.009425003319564359,0.005919966184687759
C_plus_polymarket_sentiment,overall,0.00899659346932932,0.005841477463765656
C_plus_polymarket_sentiment,low,0.0035487953098552664,0.0030056214538733642
C_plus_polymarket_sentiment,medium,0.010441226149529657,0.006470937602419713
C_plus_polymarket_sentiment,high,0.009269552107349425,0.00593902005885791
