model,estimator,segment,rmse,mae,r2,directional_accuracy,n_obs
A_base_macro,linear,overall,0.024192914761443137,0.02005721627357063,-3.50601025101466,0.5542328042328042,756
A_base_macro,linear,regime:unclassified,0.024192914761443137,0.02005721627357063,-3.50601025101466,0.5542328042328042,756
A_base_macro,linear,vix_regime:high_vix,0.030116869122359585,0.025653809773194803,-4.558540572941349,0.44327561327561327,564
A_base_macro,linear,vix_regime:low_vix,0.013577479052388352,0.011491351314702957,-1.695534179506085,0.5806878306878307,192
A_base_macro,random_forest,overall,0.024648124910626856,0.02056482631082162,-4.266039702813644,0.5396825396825397,756
A_base_macro,random_forest,regime:unclassified,0.024648124910626856,0.02056482631082162,-4.266039702813644,0.5396825396825397,756
A_base_macro,random_forest,vix_regime:high_vix,0.031120454057155595,0.026932660486838976,-5.592239843576915,0.4277705627705627,564
A_base_macro,random_forest,vix_regime:low_vix,0.011171504236692801,0.009813902344876379,-0.7788233770852444,0.5814814814814815,192
A_base_macro,xgboost,overall,0.025183019681873073,0.021262696488602396,-5.056876475439297,0.5185185185185185,756
A_base_macro,xgboost,regime:unclassified,0.025183019681873073,0.021262696488602396,-5.056876475439297,0.5185185185185185,756
A_base_macro,xgboost,vix_regime:high_vix,0.03187494294230113,0.027997462093669535,-6.5634447459441985,0.4107864357864358,564
A_base_macro,xgboost,vix_regime:low_vix,0.011256960751457207,0.009497573279917808,-0.8527286817899514,0.5626984126984127,192
B_base_macro_sentiment,linear,overall,0.024538173805545918,0.020364835018336417,-3.5387028586452516,0.5529100529100529,756
B_base_macro_sentiment,linear,regime:unclassified,0.024538173805545918,0.020364835018336417,-3.5387028586452516,0.5529100529100529,756
B_base_macro_sentiment,linear,vix_regime:high_vix,0.030883407701474797,0.026536537041927127,-4.715419723726017,0.4354040404040404,564
B_base_macro_sentiment,linear,vix_regime:low_vix,0.013160490189881168,0.01105883759949916,-1.5035317317520054,0.6415343915343915,192
B_base_macro_sentiment,random_forest,overall,0.024492111712703758,0.020408976826135777,-4.220794261895933,0.5436507936507936,756
B_base_macro_sentiment,random_forest,regime:unclassified,0.024492111712703758,0.020408976826135777,-4.220794261895933,0.5436507936507936,756
B_base_macro_sentiment,random_forest,vix_regime:high_vix,0.030913296172925535,0.02668803370775429,-5.5347926700317345,0.42913419913419915,564
B_base_macro_sentiment,random_forest,vix_regime:low_vix,0.01099502454290246,0.009632909155912637,-0.7144643916936552,0.5894179894179895,192
B_base_macro_sentiment,xgboost,overall,0.025190847339414093,0.021131161409007282,-4.9441440959823035,0.5277777777777778,756
B_base_macro_sentiment,xgboost,regime:unclassified,0.025190847339414093,0.021131161409007282,-4.9441440959823035,0.5277777777777778,756
B_base_macro_sentiment,xgboost,vix_regime:high_vix,0.0318475599312923,0.027674701085354886,-6.428000527522878,0.41229437229437227,564
B_base_macro_sentiment,xgboost,vix_regime:low_vix,0.009560862535513972,0.007927061554607448,-0.3258425181883096,0.6814814814814815,192
C_full,linear,overall,0.02453817380554592,0.020364835018336424,-3.538702858645252,0.5529100529100529,756
C_full,linear,regime:unclassified,0.02453817380554592,0.020364835018336424,-3.538702858645252,0.5529100529100529,756
C_full,linear,vix_regime:high_vix,0.030883407701474803,0.026536537041927127,-4.715419723726017,0.4354040404040404,564
C_full,linear,vix_regime:low_vix,0.013160490189881172,0.011058837599499166,-1.5035317317520072,0.6415343915343915,192
C_full,random_forest,overall,0.02436940384431219,0.020338016519310068,-4.176867782143884,0.5423280423280423,756
C_full,random_forest,regime:unclassified,0.02436940384431219,0.020338016519310068,-4.176867782143884,0.5423280423280423,756
C_full,random_forest,vix_regime:high_vix,0.03076804685942074,0.02661032569900369,-5.482235548072865,0.4274675324675325,564
C_full,random_forest,vix_regime:low_vix,0.010871226569341495,0.0094734839707864,-0.6728371686684707,0.5894179894179895,192
C_full,xgboost,overall,0.025017839426969155,0.021121236124216087,-4.876239378402726,0.5264550264550265,756
C_full,xgboost,regime:unclassified,0.025017839426969155,0.021121236124216087,-4.876239378402726,0.5264550264550265,756
C_full,xgboost,vix_regime:high_vix,0.031635866300675615,0.027694226067984006,-6.333020726159208,0.4107070707070707,564
C_full,xgboost,vix_regime:low_vix,0.010591393751246105,0.009058209125258914,-0.6437298137362483,0.5814814814814815,192
