createdAt,id,question,answer1,answer2,neg_risk,market_slug,token1,token2,condition_id,volume,ticker,closedTime
2024-10-21T18:09:12.014074Z,510319,Trump ends Ukraine war in first 90 days?,Yes,No,False,trump-wins-ends-ukraine-war-in-90-days,84888738552927367074645370589243532246434846262240067551074642775011167355434,86857783363775257860227917708309268561005168570896999677788731255030014967896,0xa5ac4cdcfff44ddfb0d332d33575f766414465786fb7d4350782db40d5e9da11,56491984.2956951,trump-wins-ends-ukraine-war-in-90-days,2025-04-24 00:57:31+00
2025-06-15T17:52:19.395446Z,552649,Israel x Iran ceasefire before July? ,Yes,No,False,israel-x-iran-ceasefire-before-july,55954094346759063594882554456572178663387691206618113097510839560547795312182,106802454252372647359585422974995064975803750651759225225383160391011881420316,0x3b2f19935f2a969634a7aca52b69cf653d957ec6243bdfcb97dd830003e90624,51779894.19503,israel-x-iran-ceasefire-before-july,2025-07-03 00:42:48+00
2024-11-15T19:04:16.776366Z,513158,Will Keith Rabois be appointed as the next Florida senator?,Yes,No,False,will-keith-rabois-be-appointed-as-the-next-florida-senator,56856554121968232613220810264926793895452496974240963994907980604848741663150,20326773346697190922018753042795567795461255545486082613495864669568621895410,0xa6b3d50d6d1b60296fcf781134fb363ce9c6fe39f47fb03131b7d8af259fce66,44989666.665491,who-will-replace-marco-rubio-as-florida-senator,2025-01-22 01:49:49+00
2024-09-23T20:21:02.008203Z,507792,Israel x Hezbollah Ceasefire in 2024?,Yes,No,False,israel-x-hezbollah-ceasefire-in-2024,17591104758522950413326744526150502106648525094010529215394967309981213513392,32322615496721137058185720444893748670417699572955357067926528413064767623501,0x54a1d0da9b18ac0dd1b1ae10fad2eb782427733e4ad2f14f190b979bbb5c7d65,40061277.633281,israel-x-hezbollah-ceasefire-in-2024,2024-12-05 00:31:32+00
2025-03-31T16:44:47.62303Z,532741,US military action against Iran before July?,Yes,No,False,us-military-action-against-iran-before-july,114122071509644379678018727908709560226618148003371446110114509806601493071694,80978028360254936368371673933700302612703837652131035604541509269884038499223,0x6a67b9d828d53862160e470329ffea5246f338ecfffdf2cab45211ec578b0347,29917021.2541,us-military-action-against-iran-before-july,2025-06-22 03:03:06+00
2024-10-14T22:55:42.355163Z,509855,Israel military action against Iraq before November?,Yes,No,False,israel-military-action-against-iraq-before-november,70600361638677588796777424567218334032905836716539802937518727902043802064967,37345183659773848311239062560842750053671929810195926482598825743458742747410,0x825979da04e73c1f0df28132de975b19a53b54faf7e672e822aa10c9031c1201,27780153.857752,israel-military-action-against-iraq-before-november,2024-10-30 00:25:09+00
2024-09-17T17:25:22.617605Z,507294,Will Borussia Dortmund win the UEFA Champions League?,Yes,No,False,will-borussia-dortmund-win-the-uefa-champions-league,107355849066968464444645551884751626662203097526366743372006702997198099468113,110711422135066764127108937054863461194111120397252457104817414331570105668583,0x9a5759b5121f0efc7e725deeb95b2599c2d8c197d750120e491af3d808943935,20166955.363376,champions-league-winner-2025,2025-04-16 00:18:09+00
2024-12-29T18:47:35.140745Z,516719,Russia x Ukraine ceasefire in 2025?,Yes,No,False,russia-x-ukraine-ceasefire-in-2025,15974786252393396629980467963784550802583781222733347534844974829144359265969,42351579455604873042957090441032286075880144797259231030267680078160718556927,0x8ee2f1640386310eb5e7ffa596ba9335f2d324e303d21b0dfea6998874445791,19531933.37201,russia-x-ukraine-ceasefire-in-2025,
2025-06-13T04:37:11.585706Z,552106,Will the US officially declare war on Iran before July?,Yes,No,False,will-the-united-states-officially-declare-war-on-iran-before-july,111424197079837335615776221021058022073599497376366795775335295592689919331736,100521214517386472197239772533084604932520906298830824653564801405987500624949,0xb11173b63944f4f273bf31da413d07384284bcf7a3053be15a560a9b80d171df,18143784.381987,will-the-united-states-officially-declare-war-on-iran-before-july,2025-07-03 02:27:34+00
2025-06-11T20:59:19.439724Z,551655,Major cyberattack on Iran in June?,Yes,No,False,major-cyberattack-on-iran-in-june,25909761165078452929889432790805073482028042602165635505156754809356023936939,64870841501853474202213221626013837561022519465605448237200471134583417724366,0x2158d1f83118f06d7399d5000e9c44f317eb8a0801a6f588d261bf2cf2310445,17449126.951622,major-cyberattack-on-iran-in-june,2025-06-25 00:52:27+00
