feature,mean_abs_shap
num__vix_lag_2,0.010168863
num__vix_lag_1,0.0061384942
num__oil_volatility_proxy_lag_5,0.005584893
num__realized_volatility,0.003123366
num__wti_price_lag_5,0.003000146
num__rv_lag_1,0.0015441325
num__wti_price_lag_1,0.0013688058
num__vix_lag_5,0.0013560756
num__rv_lag_2,0.0012094541
num__oil_volatility_proxy_lag_2,0.0010614201
cat__asset_RTX,0.00078850146
num__rv_lag_5,0.00071099977
num__oil_volatility_proxy_lag_1,0.000607671
num__range_pct,0.00042607263
num__sentiment_rolling_mean,0.0003695377
num__gpr_lag_1,0.00030832563
num__log_return,0.00025831437
num__ret_lag_5,0.0002525666
cat__asset_ITA,0.00025120165
num__wti_price_lag_2,0.0002491821
num__close_to_open,0.00022698288
num__gpr_lag_5,0.00019605992
num__ret_lag_2,0.00018635752
num__ret_lag_1,0.0001810597
cat__asset_GD,0.00016996154
cat__asset_LMT,0.00015368777
num__sentiment_change,0.00013651904
num__volume_change,0.00012547606
num__gpr_lag_2,0.00012068125
num__sentiment_lag_1,9.948388e-05
cat__asset_NOC,5.886666e-05
cat__asset_LHX,5.6694575e-05
num__poly_probability_change_lag_1,0.0
num__poly_probability_level_lag_1,0.0
num__poly_order_imbalance_lag_1,0.0
num__poly_probability_volatility_lag_1,0.0
num__poly_trade_count_lag_1,0.0
num__poly_volume_zscore_lag_1,0.0
