label_type,model,estimator,segment,precision,recall,f1,roc_auc,precision_tol,recall_tol,f1_tol,tn,fp,fn,tp,n_obs
spike_roll,A_base_macro,lightgbm,train_regime:high_vix,0.18253968253968253,1.0,0.3087248322147651,0.34276065850569865,0.18253968253968253,1.0,0.3087248322147651,0,103,0,23,126
spike_roll,A_base_macro,lightgbm,train_regime:low_vix,0.5,0.03125,0.058823529411764705,0.6264508928571428,0.5,0.03125,0.058823529411764705,143,0,41,2,186
spike_roll,A_base_macro,logistic,train_regime:high_vix,0.18253968253968253,1.0,0.3087248322147651,0.04263402279442802,0.18253968253968253,1.0,0.3087248322147651,0,103,0,23,126
spike_roll,A_base_macro,logistic,train_regime:low_vix,0.2972972972972973,0.3338068181818182,0.11176470588235293,0.5157996894409939,0.30405405405405406,0.37926136363636365,0.12352941176470589,75,68,35,8,186
spike_roll,A_base_macro,random_forest,train_regime:high_vix,0.18253968253968253,1.0,0.3087248322147651,0.31426762346981846,0.18253968253968253,1.0,0.3087248322147651,0,103,0,23,126
spike_roll,A_base_macro,random_forest,train_regime:low_vix,0.0,0.0,0.0,0.6512867906549972,0.0,0.0,0.0,143,0,43,0,186
spike_roll,B_base_macro_sentiment,lightgbm,train_regime:high_vix,0.18253968253968253,1.0,0.3087248322147651,0.3429717180244829,0.18253968253968253,1.0,0.3087248322147651,0,103,0,23,126
spike_roll,B_base_macro_sentiment,lightgbm,train_regime:low_vix,0.5,0.03125,0.058823529411764705,0.6384016798418972,0.5,0.03125,0.058823529411764705,143,0,41,2,186
spike_roll,B_base_macro_sentiment,logistic,train_regime:high_vix,0.18253968253968253,1.0,0.3087248322147651,0.04516673701983958,0.18253968253968253,1.0,0.3087248322147651,0,103,0,23,126
spike_roll,B_base_macro_sentiment,logistic,train_regime:low_vix,0.3048780487804878,0.4247159090909091,0.12618595825426945,0.5178911102484471,0.31097560975609756,0.47017045454545453,0.13693864642631245,69,74,33,10,186
spike_roll,B_base_macro_sentiment,random_forest,train_regime:high_vix,0.18253968253968253,1.0,0.3087248322147651,0.37083157450401016,0.18253968253968253,1.0,0.3087248322147651,0,103,0,23,126
spike_roll,B_base_macro_sentiment,random_forest,train_regime:low_vix,0.0,0.0,0.0,0.688369476990401,0.0,0.0,0.0,143,0,43,0,186
spike_roll,C_full,lightgbm,train_regime:high_vix,0.18253968253968253,1.0,0.3087248322147651,0.3429717180244829,0.18253968253968253,1.0,0.3087248322147651,0,103,0,23,126
spike_roll,C_full,lightgbm,train_regime:low_vix,0.5,0.03125,0.058823529411764705,0.6384016798418972,0.5,0.03125,0.058823529411764705,143,0,41,2,186
spike_roll,C_full,logistic,train_regime:high_vix,0.18253968253968253,1.0,0.3087248322147651,0.04516673701983958,0.18253968253968253,1.0,0.3087248322147651,0,103,0,23,126
spike_roll,C_full,logistic,train_regime:low_vix,0.3048780487804878,0.4247159090909091,0.12618595825426945,0.5178911102484471,0.31097560975609756,0.47017045454545453,0.13693864642631245,69,74,33,10,186
spike_roll,C_full,random_forest,train_regime:high_vix,0.18253968253968253,1.0,0.3087248322147651,0.3786407766990292,0.18253968253968253,1.0,0.3087248322147651,0,103,0,23,126
spike_roll,C_full,random_forest,train_regime:low_vix,0.0,0.0,0.0,0.7541929877188029,0.0,0.0,0.0,143,0,43,0,186
spike_top10,A_base_macro,lightgbm,train_regime:high_vix,0.6669543081085502,0.9610254124960007,0.7727645274355065,0.5543767043876915,0.6692478860902016,0.9648132912838796,0.7756216702926494,15,157,14,312,498
spike_top10,A_base_macro,lightgbm,train_regime:low_vix,0.0,0.0,0.0,0.4832589285714286,0.0,0.0,0.0,32,0,28,0,60
spike_top10,A_base_macro,logistic,train_regime:high_vix,0.7262472487160675,0.7435752043764214,0.7035002054821038,0.6548885599663152,0.7381858557803166,0.7546146044624746,0.7143446467523368,77,95,76,250,498
spike_top10,A_base_macro,logistic,train_regime:low_vix,0.0,0.0,0.0,0.4207589285714286,0.0,0.0,0.0,32,0,28,0,60
spike_top10,A_base_macro,random_forest,train_regime:high_vix,0.6570539135194308,0.9941176470588236,0.7766920980844569,0.5591174609016056,0.6570539135194308,0.9941176470588236,0.7766920980844569,2,170,2,324,498
spike_top10,A_base_macro,random_forest,train_regime:low_vix,0.0,0.0,0.0,0.20982142857142858,0.0,0.0,0.0,32,0,28,0,60
spike_top10,B_base_macro_sentiment,lightgbm,train_regime:high_vix,0.6691657958899339,0.9819073083778966,0.7834410239098752,0.5679747988782811,0.6691657958899339,0.9819073083778966,0.7834410239098754,15,157,5,321,498
spike_top10,B_base_macro_sentiment,lightgbm,train_regime:low_vix,0.0,0.0,0.0,0.5558035714285715,0.0,0.0,0.0,32,0,28,0,60
spike_top10,B_base_macro_sentiment,logistic,train_regime:high_vix,0.7297823921497981,0.7734326018808777,0.7233078795070901,0.6543174703367401,0.7428901257854971,0.7887823467945172,0.7366195426910542,73,99,67,259,498
spike_top10,B_base_macro_sentiment,logistic,train_regime:low_vix,1.0,0.07142857142857142,0.13333333333333333,0.5011160714285715,1.0,0.07142857142857142,0.13333333333333333,32,0,26,2,60
spike_top10,B_base_macro_sentiment,random_forest,train_regime:high_vix,0.659590532378143,0.9911764705882353,0.7772951434636217,0.5709525277079368,0.661802921758674,0.9941176470588236,0.7798203959888743,4,168,3,323,498
spike_top10,B_base_macro_sentiment,random_forest,train_regime:low_vix,0.0,0.0,0.0,0.5189732142857143,0.0,0.0,0.0,32,0,28,0,60
spike_top10,C_full,lightgbm,train_regime:high_vix,0.6691657958899339,0.9819073083778966,0.7834410239098752,0.5679747988782811,0.6691657958899339,0.9819073083778966,0.7834410239098754,15,157,5,321,498
spike_top10,C_full,lightgbm,train_regime:low_vix,0.0,0.0,0.0,0.5558035714285715,0.0,0.0,0.0,32,0,28,0,60
spike_top10,C_full,logistic,train_regime:high_vix,0.7297823921497981,0.7734326018808777,0.7233078795070901,0.6543174703367401,0.7428901257854971,0.7887823467945172,0.7366195426910542,73,99,67,259,498
spike_top10,C_full,logistic,train_regime:low_vix,1.0,0.07142857142857142,0.13333333333333333,0.5011160714285715,1.0,0.07142857142857142,0.13333333333333333,32,0,26,2,60
spike_top10,C_full,random_forest,train_regime:high_vix,0.659590532378143,0.9911764705882353,0.7772951434636217,0.5630095629960403,0.661802921758674,0.9941176470588236,0.7798203959888743,4,168,3,323,498
spike_top10,C_full,random_forest,train_regime:low_vix,0.0,0.0,0.0,0.37723214285714285,0.0,0.0,0.0,32,0,28,0,60
